Group,Size,Range,File,Total Value,Total Weight,Time,Optimal?
00Uncorrelated,n00050,R01000,s001.kp,19836,13585,0.0000036,YES
00Uncorrelated,n00100,R01000,s001.kp,41049,22689,0.000011,YES
00Uncorrelated,n00200,R01000,s001.kp,78918,48841,0.0003748,YES
00Uncorrelated,n00500,R01000,s001.kp,202841,131008,0.0004933,YES
00Uncorrelated,n01000,R01000,s001.kp,418472,243069,0.0021296,YES
00Uncorrelated,n00050,R01000,s000.kp,20995,14721,0.0000312,YES
00Uncorrelated,n00100,R01000,s000.kp,46537,22519,0.0000551,YES
00Uncorrelated,n00200,R01000,s000.kp,84317,50302,0.0002325,YES
00Uncorrelated,n00500,R01000,s000.kp,207992,118693,0.0000076,YES
00Uncorrelated,n01000,R01000,s000.kp,400811,252480,0.0023007,YES
00Uncorrelated,n00050,R10000,s000.kp,209818,147083,0.0000296,YES
00Uncorrelated,n00100,R10000,s000.kp,465424,225212,0.0000186,YES
00Uncorrelated,n00200,R10000,s000.kp,843127,502608,0.0000021,YES
00Uncorrelated,n00500,R10000,s000.kp,2078639,1185802,0.0000482,YES
00Uncorrelated,n01000,R10000,s000.kp,4005798,2522529,0.0010641,YES
01WeaklyCorrelated,n00050,R01000,s001.kp,13214,11791,0.0002761,YES
01WeaklyCorrelated,n00100,R01000,s001.kp,27624,25389,0.0000498,YES
01WeaklyCorrelated,n00200,R01000,s001.kp,53514,48102,0.0015042,YES
01WeaklyCorrelated,n00500,R01000,s001.kp,138098,123764,0.0030446,YES
01WeaklyCorrelated,n01000,R01000,s001.kp,279824,254777,0.0001411,YES
01WeaklyCorrelated,n00050,R01000,s000.kp,15768,14232,0.0003407,YES
01WeaklyCorrelated,n00100,R01000,s000.kp,31064,29013,0.0002499,YES
01WeaklyCorrelated,n00200,R01000,s000.kp,56976,51563,0.0002465,YES
01WeaklyCorrelated,n00500,R01000,s000.kp,139258,127276,0.001842,YES
01WeaklyCorrelated,n01000,R01000,s000.kp,273052,245972,0.0025156,YES
01WeaklyCorrelated,n00050,R10000,s000.kp,157504,142272,0.0005007,YES
01WeaklyCorrelated,n00100,R10000,s000.kp,310315,289895,0.0007937,YES
